size,count,type,time_avg,algbw,busbw,cores,algorithm
8192,4096,bfloat16,8.39,0.98,1.47,4,allr
16384,8192,bfloat16,8.56,1.91,2.87,4,allr
32768,16384,bfloat16,9.16,3.58,5.36,4,allr
65536,32768,bfloat16,10.34,6.34,9.51,4,allr
131072,65536,bfloat16,13.12,9.99,14.98,4,allr
262144,131072,bfloat16,17.51,14.97,22.45,4,allr
524288,262144,bfloat16,22.49,23.31,34.97,4,allr
1048576,524288,bfloat16,30.16,34.76,52.15,4,allr
2097152,1048576,bfloat16,45.74,45.85,68.78,4,allr
4194304,2097152,bfloat16,76.7,54.68,82.03,4,allr
8388608,4194304,bfloat16,129.94,64.56,96.84,4,allr
16777216,8388608,bfloat16,228.03,73.58,110.36,4,allr
33554432,16777216,bfloat16,438.8,76.47,114.70,4,allr
67108864,33554432,bfloat16,862.15,77.84,116.76,4,allr
8192,4096,bfloat16,8.41,0.97,0.73,4,allg
16384,8192,bfloat16,8.41,1.95,1.46,4,allg
32768,16384,bfloat16,8.6,3.81,2.86,4,allg
65536,32768,bfloat16,8.72,7.51,5.63,4,allg
131072,65536,bfloat16,8.88,14.77,11.08,4,allg
262144,131072,bfloat16,9.7,27.03,20.27,4,allg
524288,262144,bfloat16,11.65,45.00,33.75,4,allg
1048576,524288,bfloat16,15.36,68.26,51.19,4,allg
2097152,1048576,bfloat16,23.25,90.20,67.65,4,allg
4194304,2097152,bfloat16,39.0,107.55,80.66,4,allg
8388608,4194304,bfloat16,71.39,117.51,88.13,4,allg
16777216,8388608,bfloat16,104.75,160.16,120.12,4,allg
33554432,16777216,bfloat16,192.4,174.40,130.80,4,allg
67108864,33554432,bfloat16,369.86,181.44,136.08,4,allg
8192,4096,bfloat16,11.22,0.73,0.55,4,redsct
16384,8192,bfloat16,11.31,1.45,1.09,4,redsct
32768,16384,bfloat16,11.38,2.88,2.16,4,redsct
65536,32768,bfloat16,11.74,5.58,4.19,4,redsct
131072,65536,bfloat16,12.2,10.74,8.06,4,redsct
262144,131072,bfloat16,13.71,19.12,14.34,4,redsct
524288,262144,bfloat16,16.61,31.56,23.67,4,redsct
1048576,524288,bfloat16,21.29,49.26,36.94,4,redsct
2097152,1048576,bfloat16,29.66,70.70,53.03,4,redsct
4194304,2097152,bfloat16,46.2,90.79,68.09,4,redsct
8388608,4194304,bfloat16,79.21,105.90,79.43,4,redsct
16777216,8388608,bfloat16,159.6,105.12,78.84,4,redsct
33554432,16777216,bfloat16,308.18,108.88,81.66,4,redsct
67108864,33554432,bfloat16,604.21,111.07,83.30,4,redsct
1,errors,found,-,test,failed,8,allr
8192,4096,bfloat16,8.91,0.92,1.61,8,allr
